MeasureID,ImplementingAgency,AnnouncedYear,StateActTitle,CountryImposing_cleaned,D_IP_bert_3,D_OTHER_INTENTION_bert_3,D_NOT_ENOUGH_INFO_bert_3,MeasureAffectedProducts,MAST_chapterName,MeasureType,firm_specific,ImplementationLevel,same_year_published
61150,Swiss Export Risk Insurance,2015,Switzerland: EXIM financing for an unidentified exporter in July 2015,Switzerland,1,0,0,843020,Export-related measures,Trade finance,Firm specific,NFI,
61152,Swiss Export Risk Insurance,2015,Switzerland: EXIM financing for an unidentified exporter in July 2015,Switzerland,1,0,0,"853510,853521,853529,853530,853540,853590",Export-related measures,Trade finance,Firm specific,NFI,
61154,Swiss Export Risk Insurance,2015,Switzerland: EXIM financing for an unidentified exporter in September 2015,Switzerland,1,0,0,853590,Export-related measures,Trade finance,Firm specific,NFI,
61155,Swiss Export Risk Insurance,2015,Switzerland: EXIM financing for an unidentified exporter in December 2015,Switzerland,1,0,0,"853530,853590",Export-related measures,Trade finance,Firm specific,NFI,
61156,Swiss Export Risk Insurance,2015,Switzerland: EXIM financing for an unidentified exporter in March 2016,Switzerland,1,0,0,940600,Export-related measures,Trade finance,Firm specific,NFI,
61157,Swiss Export Risk Insurance,2016,Switzerland: EXIM financing for an unidentified exporter in March 2016,Switzerland,1,0,0,843810,Export-related measures,Trade finance,Firm specific,NFI,
61158,Swiss Export Risk Insurance,2016,Switzerland: EXIM financing for an unidentified exporter in April 2016,Switzerland,1,0,0,NA,Export-related measures,Trade finance,Firm specific,NFI,
61159,Swiss Export Risk Insurance,2016,Switzerland: EXIM financing for an unidentified exporter in April 2016,Switzerland,1,0,0,853530,Export-related measures,Trade finance,Firm specific,NFI,
61160,Swiss Export Risk Insurance,2016,Switzerland: EXIM financing for an unidentified exporter in April 2016,Switzerland,1,0,0,"853510,853521,853529,853530,853540,853590",Export-related measures,Trade finance,Firm specific,NFI,
61161,Swiss Export Risk Insurance,2016,Switzerland: EXIM financing for an unidentified exporter in April 2016,Switzerland,1,0,0,"843311,843319,843320,843330,843340,843351,843352,843353,843359,843360,843390",Export-related measures,Trade finance,Firm specific,NFI,
